Característica,Valor
Edad (años),44.0 ± 13.8
"Sexo femenino, n (%)",112 (49.6%)
Edad al diagnóstico (años),20.7 ± 13.5
Duración de la DM1 (años),23.3 ± 12.2
IMC (kg/m²),27.3 ± 4.4
HbA1c basal (%),7.3 ± 0.7
Glucosa media CGM (mg/dL),161 ± 21
GMI (%),7.2 ± 0.5
Coef. de variación %CV (%),37.4 ± 4.7
Tiempo en rango 70–180 (%),63.1 ± 12.2
Tiempo <70 mg/dL (%),3.76 ± 2.51
Tiempo <54 mg/dL (%),0.96 ± 0.91
LBGI (riesgo de hipoglucemia),1.00 ± 0.58
HBGI (riesgo de hiperglucemia),7.6 ± 3.4
ADRR (rango de riesgo diario),42.4 ± 8.9
